VTV
VTV1 HD,udp://@225.1.2.249:30120
VTV2 HD,udp://@225.1.2.13:30120
VTV3 HD,udp://@225.1.2.247:30120
VTV4 HD,udp://@225.1.2.20:30120
VTV5 HD,udp://@225.1.1.131:30120
VTV Cần Thơ HD,udp://@225.1.2.245:30120
VTV7 HD,udp://@225.1.2.96:30120
VTV8 HD,udp://@225.1.2.166:30120
VTV9 HD,udp://@225.1.1.128:30120
VTV5 Tây Nam Bộ HD,udp://@225.1.2.236:30120
VTV1 HD (HD 4Mbps),udp://@225.1.4.1:30120
VTV2 HD (HD 4Mbps),udp://@225.1.4.2:30120
VTV3 HD (HD 4Mbps),udp://@225.1.4.3:30120
VTV4 HD (HD 4Mbps),udp://@225.1.4.4:30120
VTV5 HD (HD 4Mbps),udp://@225.1.4.5:30120
VTV Cần Thơ HD (HD 4Mbps),udp://@225.1.4.108:30120
VTV7 HD (HD 4Mbps),udp://@225.1.4.10:30120
VTV8 HD (HD 4Mbps),udp://@225.1.4.7:30120
VTV9 HD (HD 4Mbps),udp://@225.1.4.8:30120

VTC
VTC1 HD,udp://@225.1.2.254:30120
VTC3 HD,udp://@225.1.2.251:30120
VTC4 HD,udp://@225.1.2.200:30120
VTC13 HD,udp://@225.1.2.250:30120
VTC14 HD,udp://@225.1.2.88:30120
VTC16 HD,udp://@225.1.2.190:30120
VOV TV,udp://@225.1.2.171:30120
VTC2,udp://@225.1.2.202:30120
VTC5,udp://@225.1.2.199:30120
VTC6,udp://@225.1.2.198:30120
VTC7,udp://@225.1.2.197:30120
VTC8,udp://@225.1.2.196:30120
VTC10,udp://@225.1.2.194:30120
VTC11,udp://@225.1.2.193:30120
VTC12,udp://@225.1.2.51:30120
VTC3 HD (HD 4Mbps),udp://@225.1.4.42:30120

HTV/HTVC
HTV2 HD,udp://@225.1.1.193:30120
HTV7 HD,udp://@225.1.1.192:30120
HTV9 HD,udp://@225.1.1.190:30120
HTV1,udp://@225.1.1.180:30120
HTV3,udp://@225.1.1.178:30120
HTV4,udp://@225.1.1.177:30120
HTV THỂ THAO,udp://@225.1.1.165:30120
HTVC Ca Nhạc,udp://@225.1.1.185:30120
HTVC Du Lịch và Cuộc Sống,udp://@225.1.1.166:30120
HTVC Gia Đình,udp://@225.1.1.170:30120
HTVC Phim,udp://@225.1.1.184:30120
HTVC Phụ Nữ,udp://@225.1.1.171:30120
Thuần Việt HD,udp://@225.1.1.186:30120
HTVC+,udp://@225.1.1.181:30120

Kênh TH Thiết yếu
ANTV - An Ninh TV HD,udp://@225.1.2.169:30120
Nhân Dân TV HD,udp://@225.1.1.91:30120
Quốc Hội TV HD,udp://@225.1.2.148:30120
QPTV - Quốc Phòng VN HD,udp://@225.1.2.217:30120
TTXVN - Thông Tấn Xã VN HD,udp://@225.1.1.43:30120

Other
SCTV6,udp://@225.1.1.188:30120

Địa phương (HD)
THLC _ TH Lào Cai,udp://@225.1.1.119:30120
ĐTV HD _ TH Điện Biên,udp://@225.1.1.74:30120
TTV HD _ TH Tuyên Quang,udp://@225.1.2.188:30120
TN1 HD _ TH Thái Nguyên,udp://@225.1.2.179:30120
HBTV HD _ TH Hòa Bình (HD 4Mbps),udp://@225.1.2.168:30120
PTV HD _ TH Phú Thọ,udp://@225.1.2.165:30120
BGTV HD _ TH Bắc Giang,udp://@225.1.1.164:30120
LSTV HD _ TH Lạng Sơn,udp://@225.1.1.160:30120
CRTV HD _ TH Cao Bằng,udp://@225.1.1.102:30120
TBK HD _ TH Bắc Kạn (HD 4Mbps),udp://@225.1.1.126:30120
QTV1 HD _ TH Quảng Ninh,udp://@225.1.2.181:30120
